line,line_dist_km,bathy_m
60,0,0
60,1.93,2.2
60,3.86,23.5
60,5.79,4.7
60,7.72,0
60,9.65,0
60,11.58,0
60,13.51,0
60,15.43,0
60,17.36,0
60,19.29,0
60,21.22,0
60,23.15,0
60,25.08,4.1
60,27.01,0
60,28.94,9.8
60,30.87,20.4
60,32.8,32.9
60,34.73,40.1
60,36.66,41.3
60,38.59,51.1
60,40.52,52
60,42.45,54.3
60,44.43,55.2
60,46.41,60.3
60,48.39,65.5
60,50.37,66.2
60,52.35,70.1
60,54.33,71
60,56.31,70.6
60,58.29,71
60,60.27,71
60,62.25,70.3
60,64.23,66.6
60,66.21,58.8
60,68.19,53.4
60,70.17,85.3
60,72.15,116.7
60,74.13,486.9
60,76.11,855.5
60,78.04,1007.4
60,79.97,1262.2
60,81.89,1365.6
60,83.82,1280.5
60,85.75,1395.7
60,87.68,1633.6
60,89.6,1832.7
60,91.53,2168.3
60,93.46,2423.4
60,95.38,2626.4
60,97.31,2663.6
60,99.24,2610.2
60,101.16,2663.7
60,103.09,2903.4
60,105.02,2964.7
60,106.94,3019.5
60,108.87,3127.9
60,110.8,3300.4
60,112.72,3312.1
60,114.65,3326.7
60,116.58,3332.2
60,118.51,3344.5
60,120.43,3359.5
60,122.36,3379.7
60,124.33,3400.5
60,126.3,3420.7
60,128.27,3446.2
60,130.24,3463.9
60,132.2,3485.2
60,134.17,3499
60,136.14,3519.2
60,138.11,3546.7
60,140.08,3544.9
60,142.05,3562.5
60,144.02,3594.5
60,145.99,3633.3
60,147.96,3658
60,149.93,3685.7
60,151.9,3729.6
60,153.86,3774.3
60,155.83,3798.7
60,157.8,3809.7
60,159.77,3821.9
60,161.74,3830.5
60,163.71,3831.7
60,165.68,3837.5
60,167.65,3850.7
60,169.62,3898
60,171.59,3887
60,173.56,3887.2
60,175.53,3893.7
60,177.49,3931
60,179.46,3953
60,181.43,3954.1
60,183.4,3971.5
60,185.37,3971.4
60,187.34,3992.4
60,189.34,4005.4
60,191.34,4020.7
60,193.34,4031.3
60,195.34,4044.8
60,197.34,4036.3
60,199.34,3950
60,201.33,3769.8
60,203.33,3726.6
60,205.33,3744
60,207.33,3769.7
60,209.33,3885.7
60,211.33,3953.3
60,213.33,4029
60,215.33,4060.1
60,217.33,4069
60,219.33,4055.1
60,221.33,4126.6
60,223.33,4154.7
60,225.33,4170.8
60,227.32,4181.2
60,229.32,4196.4
60,231.32,4205.3
60,233.32,4205.3
60,235.32,4203.6
60,237.32,4205.4
60,239.32,4218.5
60,241.32,4242.9
60,243.32,4254.8
60,245.32,4256
60,247.32,4255.8
60,249.32,4259.7
60,251.31,4266.3
60,253.31,4272.9
60,255.31,4277.5
60,257.31,4283.1
60,259.31,4290.7
60,261.31,4296.4
60,263.31,4302.1
60,265.31,4313.2
60,267.31,4317.2
60,269.31,4321.4
60,271.31,4330.3
60,273.31,4319.6
60,275.31,3836.1
60,277.31,3794.4
60,279.3,3962.7
60,281.3,4211
60,283.3,4231.1
60,285.3,4219.6
60,287.3,4196.5
60,289.3,4118.4
60,291.3,4020
60,293.3,3356.1
60,295.3,3003.8
60,297.3,3010.4
60,299.3,3003.9
60,301.3,3532.8
60,303.3,4034.5
60,305.3,4137.7
60,307.29,4219.6
60,309.29,4322.6
60,311.29,4435.1
60,313.29,4493.9
60,315.29,4507.6
60,317.29,4494.6
60,319.29,4471.6
60,321.29,4480.6
60,323.29,4501.1
60,325.29,4510.5
60,327.29,4508.3
60,329.29,4504.8
60,331.29,4512
60,333.29,4542.5
60,335.29,4524.1
60,337.28,4518.6
60,339.28,4515.1
60,341.28,4512.8
60,343.28,4510.5
60,345.28,4509
60,347.28,4522.1
60,349.28,4512.6
60,351.28,4521
60,353.28,4534.8
60,355.28,4518.6
60,357.28,4520.3
60,359.28,4470.6
60,361.28,4511.5
60,363.27,4533.3
60,365.27,4592.9
60,367.27,4596.4
60,369.27,4640
60,371.27,4637.8
60,373.27,4638.4
60,375.27,4638.8
60,377.27,4629.8
60,379.27,4650.7
60,381.27,4603.8
60,383.27,4599.4
60,385.27,4599.1
60,387.27,4596.6
60,389.26,4600.1
60,391.26,4612.8
60,393.26,4614.3
60,395.26,4594.3
60,397.26,4606.7
60,399.26,4616.8
60,401.26,4633.3
60,403.26,4628.1
60,405.26,4627.6
60,407.26,4635.7
60,409.26,4633.1
60,411.26,4628.9
60,413.25,4624.1
60,415.25,4614.4
60,417.25,4603.1
60,419.25,4569.5
60,421.25,4566.6
60,423.25,4625.1
60,425.24,4706.9
60,427.24,4764.4
60,429.24,4771.2
60,431.24,4768.9
60,433.24,4770.2
60,435.24,4782.5
60,437.24,4793.7
60,439.23,4797.7
60,441.23,4800.5
60,443.23,4792.3
60,445.23,4793.3
60,447.23,4790.7
60,449.23,4796.1
60,451.22,4808.6
60,453.22,4815.5
60,455.22,4828.7
60,457.22,4830.7
63.3,0,67
63.3,1.95,65
63.3,3.89,62.4
63.3,5.84,69.4
63.3,7.78,75.9
63.3,9.73,88.4
63.3,11.67,97.8
63.3,13.62,93.3
63.3,15.56,97.2
63.3,17.51,100.6
63.3,19.45,110
63.3,21.4,119.9
63.3,23.34,133.2
63.3,25.29,175.5
63.3,27.24,215.8
63.3,29.18,258
63.3,31.13,306.1
63.3,33.05,345.7
63.3,34.98,391.7
63.3,36.91,433.2
63.3,38.83,484.8
63.3,40.76,515.4
63.3,42.69,563.9
63.3,44.61,598.9
63.3,46.54,640.5
63.3,48.47,684.5
63.3,50.39,802.7
63.3,52.32,1057.9
63.3,54.25,1267.6
63.3,56.17,1413.7
63.3,58.1,1619.5
63.3,60.03,1839.2
63.3,61.95,2130.3
63.3,63.88,2251.3
63.3,65.81,2443.2
63.3,67.74,2602
63.3,69.66,2670.5
63.3,71.59,2655.3
63.3,73.52,2512.5
63.3,75.44,2516.5
63.3,77.37,2495.1
63.3,79.33,2499.7
63.3,81.29,2570.3
